COD_UNICO_EMP;EMPR_NOME_FAN;Origem;Descricao;CFOP;CME;Serie;C.Custo;Conta Gerencial;Servicos;Oper.Trib.ICMS;Oper.Trib.ICMS-ST;Oper.Trib.IPI;Oper.Trib.PIS/COFINS;Perc.Desconto;CEBF
U01001;ADEX;1;>>>>>>ENTRADAS<<<<<<                                        ;    ;   ;      ;      ;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;2;COMPRA PARA COMERCIALIZACAO                                 ;1102;110;      ;1;11.01.001;NAO;S;S;S;S;0;          
U01001;ADEX;3;COMPRA PARA INDUSTRIALIZACAO                                ;1101;110;      ;1000;11.01.001;NAO;S;S;S;S;0;          
U01001;ADEX;4;COMPRA (IMPORTAÇÃO) INDUSTR                                 ;3101;110;      ;1600;11.01.002;NAO;S;S;S;S;0;          
U01001;ADEX;5;COMPRA MATERIAL DE USO CONSUMO                              ;1556;300;      ;1000;15.02.015;NAO;S;S;S;S;0;          
U01001;ADEX;6;COMPRA DE SERVICOS (GERAL)                                  ;1933;190;      ;1;11.02.002;NAO;N;N;N;N;0;          
U01001;ADEX;7;COMPRA (OUTRAS ENTRADAS)                                    ;1949;190;      ;1;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;8;Venda Prod a Ordem sem Transit                              ;5122;210;      ;      ;00.00.000;NAO;d;S;S;S;0;SC830131  
U01001;ADEX;9;COMPRA DE ENERGIA ELETRICA                                  ;1252;300;      ;1000;15.02.020;NAO;S;S;S;S;0;          
U01001;ADEX;10;COMPRA SERVICOS COMUNICAÇÃO                                 ;1302;300;      ;1;15.02.022;NAO;S;S;S;S;0;          
U01001;ADEX;11;COMPRA DE FRETES (ENTRADAS)                                 ;1352;190;      ;1000;11.90.001;NAO;S;S;S;S;0;          
U01001;ADEX;12;COMPRA DE FRETES (SAIDAS)                                   ;1352;190;      ;1000;14.03.001;NAO;S;S;S;S;0;          
U01001;ADEX;13;Remessa de Prod. Exportação                                 ;6101;210;      ;      ;00.00.000;NAO;S;S;s;n;0;          
U01001;ADEX;14;COMPRA DE ATIVO IMOBILIZADO                                 ;1551;190;      ;1000;20.01.002;NAO;S;S;S;S;0;          
U01001;ADEX;15;COMPRA (IND. EFETUADA)                                      ;1124;300;      ;1;11.01.007;NAO;S;N;N;S;0;          
U01001;ADEX;16;COMPRA DE SERVIÇOS (ESPECIAL)                               ;1933;190;DE    ;      ;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;17;COMPRA GAS INDUSTRIALIZAÇÃO                                 ;1653;300;      ;1600;11.01.009;NAO;n;N;S;S;0;          
U01001;ADEX;18;COMPRA COMBUSTIVEIS EXPERS                                  ;1653;300;      ;3000;15.03.001;NAO;S;S;S;S;0;          
U01001;ADEX;19;COMPRA DE COMBUSTIVEIS (ESTOQUE)                            ;1653;110;      ;3000;15.03.001;NAO;S;S;S;S;0;          
U01001;ADEX;20;COMPRA MAT USO CONSUMO (ESPECIAL)                           ;1556;300;DE    ;      ;00.00.000;NAO;n;N;N;n;0;          
U01001;ADEX;21;COMPRA MAT USO CONSUMO (ESTOQUE)                            ;1556;190;      ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;22;COMPRA COMBUSTIVEIS                                         ;1653;300;      ;3000;15.03.001;NAO;S;S;S;S;0;          
U01001;ADEX;25;COMPRA SERVICOS ADX TRANSPORTES                             ;1933;300;      ;6100;11.90.004;NAO;S;S;S;S;0;          
U01001;ADEX;26;COMPRA DE SERVIÇOS CRISTAL                                  ;1933;110;      ;6001;11.02.007;NAO;S;S;S;S;0;          
U01001;ADEX;30;ENTRADA DEVOLUCAO(VENDA P/REV)                              ;1202;140;      ;1;11.01.008;NAO;S;S;S;S;0;          
U01001;ADEX;31;ENTRADA DEVOLUCAO(VENDA P/IND)                              ;1201;140;      ;1400;11.01.008;NAO;S;n;S;S;0;          
U01001;ADEX;32;ENTRADA PARA CONSERTO                                       ;1915;150;      ;1000;00.00.000;NAO;N;N;N;S;0;          
U01001;ADEX;33;ENTRADA PARA GARANTIA                                       ;1949;190;      ;1;00.00.000;NAO;S;S;S;S;0;          
